orgImgName,imgName,face_x,face_y,face_w,face_h,eye1_x,eye1_y,eye2_x,eye2_y,occluder_x,occluder_y,occluder_w,occluder_h,occluder_type,occluder_degree,gender,race,orientation,glasses_x,glasses_y,glasses_w,glasses_h
add_1.jpg,train_00000001.jpg,70,78,67,45,83,87,116,84,5,13,60,44,1.0,3.0,1.0,1.0,3.0,-1.0,-1.0,-1.0,-1.0
add_10.jpg,train_00000002.jpg,79,45,48,36,95,52,115,53,4,9,48,31,2.0,3.0,1.0,1.0,3.0,-1.0,-1.0,-1.0,-1.0
add_11.jpg,train_00000003.jpg,41,83,136,90,103,97,144,102,30,27,108,89,1.0,3.0,1.0,1.0,4.0,-1.0,-1.0,-1.0,-1.0
add_12.jpg,train_00000004.jpg,119,102,52,35,134,112,149,116,5,13,34,60,2.0,3.0,1.0,1.0,2.0,-1.0,-1.0,-1.0,-1.0
add_13.jpg,train_00000005.jpg,63,76,73,109,98,103,121,108,4,77,56,60,1.0,1.0,2.0,1.0,4.0,-1.0,-1.0,-1.0,-1.0
add_14.jpg,train_00000006.jpg,58,36,52,35,82,41,101,49,3,22,40,60,1.0,1.0,2.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0
add_15.jpg,train_00000007.jpg,101,93,54,82,112,108,139,108,3,25,51,78,1.0,3.0,2.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0
add_16.jpg,train_00000008.jpg,4,35,122,182,45,75,89,82,33,97,117,176,3.0,2.0,1.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0
add_17.jpg,train_00000009.jpg,79,88,54,36,91,98,114,97,5,17,51,34,1.0,2.0,2.0,1.0,3.0,-1.0,-1.0,-1.0,-1.0
add_19.jpg,train_00000010.jpg,90,53,126,84,115,78,170,80,3,54,99,81,3.0,2.0,1.0,1.0,3.0,-1.0,-1.0,-1.0,-1.0
add_2.jpg,train_00000011.jpg,60,51,67,45,78,62,106,60,6,12,62,43,1.0,3.0,1.0,2.0,3.0,-1.0,-1.0,-1.0,-1.0
add_20.jpg,train_00000012.jpg,18,104,76,54,40,117,71,117,7,15,64,54,1.0,3.0,2.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0
add_21.jpg,train_00000013.jpg,129,70,70,104,150,102,176,90,10,36,68,100,1.0,3.0,1.0,1.0,4.0,-1.0,-1.0,-1.0,-1.0
add_22.jpg,train_00000014.jpg,87,71,73,109,109,98,140,90,10,29,71,107,1.0,3.0,2.0,1.0,3.0,-1.0,-1.0,-1.0,-1.0
add_23.jpg,train_00000015.jpg,45,35,36,54,57,46,69,45,4,15,32,53,1.0,3.0,2.0,1.0,3.0,-1.0,-1.0,-1.0,-1.0
add_24.jpg,train_00000016.jpg,86,61,51,76,103,74,129,78,3,20,49,73,1.0,3.0,2.0,2.0,3.0,-1.0,-1.0,-1.0,-1.0
add_25.jpg,train_00000017.jpg,93,74,42,63,110,88,126,93,1,15,37,59,1.0,3.0,2.0,2.0,3.0,9.0,6.0,44.0,25.0
add_26.jpg,train_00000018.jpg,71,105,49,74,83,122,106,117,1,22,47,70,1.0,3.0,1.0,2.0,3.0,-1.0,-1.0,-1.0,-1.0
